v_bin,n_records,power_mean,power_std,power_p25,power_p75,Cp,year
1.25,131,-1.7538167984431026,1.6179723498626664,-2.230000019073485,-1.0049999952316264,,2016
1.75,365,-1.595917809009552,1.2485054987152358,-1.8400000333786,-1.0,,2016
2.25,727,-1.7078541959988203,1.0408904677557091,-2.009999990463255,-1.25499999523163,,2016
2.75,1107,-1.8823938557126012,1.1131341306358564,-2.09999990463257,-1.47000002861023,,2016
3.25,1123,-2.0604808552394673,2.41639443304377,-2.57999992370605,-1.5,,2016
3.75,1011,1.8880415433901705,8.093359727392667,-2.5349999666214,5.0,0.011068634931744398,2016
4.25,1624,31.52416869437579,20.82340690243533,16.392499923706072,45.657501220703125,0.12695598330551028,2016
4.75,1822,72.9121899101004,35.79656346323679,56.400000572204576,96.627498626709,0.21032729399767042,2016
5.25,1845,129.6956910617953,52.18030040862324,114.699996948242,163.029998779297,0.2770919814003943,2016
5.75,2014,191.3894437882077,74.34802470759139,179.1124954223635,235.06000518798876,0.3112366750312556,2016
6.25,2052,273.4349853987525,90.8436481151089,257.6250000000005,323.74250793457026,0.3462504524717251,2016
6.75,2041,373.15567861217784,107.02630286173294,357.929992675781,428.600006103516,0.37510690379082456,2016
7.25,1758,484.41471008181713,128.53168646119354,464.0200119018555,549.5824890136718,0.39298830278538005,2016
7.75,1520,614.2340589041381,147.15431422855517,589.4099884033203,685.6125030517578,0.4079482809975569,2016
8.25,1311,748.4692296457146,165.78464247912973,725.5150146484375,825.644989013672,0.4120865367241357,2016
8.75,1116,884.8036658665081,205.41431752857562,868.1175231933597,974.6199951171877,0.40831851672411396,2016
9.25,957,1031.0872635628373,230.4939215402088,1018.29998779297,1127.82995605469,0.4027601972781345,2016
9.75,882,1167.2763029253817,271.69699120640206,1163.9100036621076,1274.9599914550774,0.38934638136364247,2016
10.25,794,1314.473324340373,279.8255087955273,1308.872528076175,1425.7824707031275,0.3773605547631703,2016
10.75,650,1438.6621834754953,326.3133342511361,1448.1349487304674,1572.562469482425,0.35802203437528185,2016
11.25,546,1554.4702739685022,360.17011021470836,1571.88247680664,1700.5650024414076,0.3375212921135507,2016
11.75,443,1630.1895015810207,434.62457629359164,1676.1849975585951,1812.11999511719,0.3106710698273266,2016
12.25,371,1660.2963885746888,522.4872419515626,1730.81500244141,1890.659973144535,0.2792246003225007,2016
12.75,307,1669.515893814231,607.2186060922564,1764.53503417969,1963.41998291016,0.24902120161770588,2016
13.25,244,1784.1207807200867,500.0650886349585,1827.00244140625,2005.709960937505,0.23711167460466762,2016
13.75,220,1769.083229645817,548.4984995045678,1819.25250244141,2019.6374816894524,0.21038583300390218,2016
14.25,186,1583.546717092556,734.4400454775534,1627.1274719238274,2027.899993896485,0.16918529308546476,2016
14.75,161,1608.6713003682808,754.2702067539434,1678.89001464844,2034.01000976563,0.15497711562431304,2016
15.25,143,1614.4990911033615,749.4714695344555,1685.114990234375,2045.6849975585951,0.1407358027468884,2016
15.75,143,1710.6015335096358,671.7355746244351,1749.91998291016,2048.35498046875,0.13535786744946166,2016
16.25,122,1659.2433599360668,749.6256733049205,1657.8500061035174,2048.782531738285,0.11954359530534917,2016
16.75,98,1749.6694911389952,668.3533830713243,1984.86245727539,2049.4199829101576,0.11510333467981161,2016
17.25,104,1693.172687191231,758.0215902503853,2026.21002197266,2050.6824340820326,0.10197888912214804,2016
17.75,85,1362.9954086612265,964.6636808327852,-2.36999988555908,2050.61010742188,0.07534867879227038,2016
18.25,109,1365.6978876689175,966.5975149107562,-2.35999989509583,2053.5,0.06946121124356257,2016
18.75,73,1199.2571230065344,996.6742837702413,-2.39000010490417,2050.48999023438,0.05624511528498827,2016
19.25,70,1228.0081407666219,1012.2822551346342,-2.4650000333786024,2055.8551025390625,0.05322128610304962,2016
19.75,70,1003.9317161764428,1020.6572119795062,-2.53999996185303,2051.30004882813,0.04028832349494302,2016
20.25,42,1069.6757197720676,1017.6646878923669,-2.4200000166893023,2052.845031738285,0.03982477915921731,2016
20.75,46,950.5015246194348,1011.6634651670618,-2.40000009536743,2055.6275634765625,0.03289083018643996,2016
21.25,30,953.1493242263804,1039.9630904553337,-2.7974999547004678,2056.3875122070326,0.030708631429378623,2016
21.75,23,876.859993748044,974.0831181767479,-2.69500005245209,2043.3099975585951,0.02634685571188166,2016
22.25,9,681.5288796954687,1026.4302580603392,-3.09999990463257,2046.2099609375,0.019128042964939643,2016
22.75,14,1537.8756756612252,861.545755288803,934.2274627685545,2058.1024169921925,0.04037879418727339,2016
23.25,7,1468.105697529658,1004.9245020947017,1024.3799804449081,2058.864990234375,0.036113100230907594,2016
23.75,4,1647.0399932861365,819.9096668549188,1642.8175811767615,2059.732421875005,0.03800927831913338,2016
1.25,128,-1.4378125048242507,0.471352466961594,-1.582500040531155,-1.1175000071525552,,2017
1.75,420,-1.5464999968097324,0.5280977531967291,-1.75,-1.20000004768372,,2017
2.25,891,-1.7585297412543184,0.6797385243454757,-1.89999997615814,-1.37999999523163,,2017
2.75,1408,-1.977230113867501,1.0025075142938409,-2.16000008583069,-1.51999998092651,,2017
3.25,1549,-2.272143319695274,2.0792194580911376,-2.77999997138977,-1.5900000333786,,2017
3.75,1410,3.332780135091368,8.840700686687972,-2.50999999046326,8.469999551773073,0.019538408332296326,2017
4.25,2411,33.76763581487337,19.985683793607016,19.715000152587898,46.95999908447265,0.13599100583243792,2017
4.75,2854,81.14306239066379,28.455624751819624,64.44000053405762,100.29750251770025,0.23407060959704148,2017
5.25,2950,141.8497322347003,34.43983618384708,122.69250106811549,164.97749710083002,0.3030588221107583,2017
5.75,3121,211.45735346125093,41.078466064653085,189.990005493164,237.729995727539,0.343871021826146,2017
6.25,3329,295.4248061457817,47.335533039406386,268.790008544922,324.380004882813,0.37409614080720804,2017
6.75,3144,395.1145483728774,61.90818485268935,365.14499664306624,432.5324935913087,0.3971805961363794,2017
7.25,3047,506.73194666189727,79.42015656211763,473.279998779297,549.924987792969,0.4110934774300233,2017
7.75,2914,636.3767782796224,83.63152381162736,597.1024780273442,684.1150054931645,0.4226545386120502,2017
8.25,2724,776.4546292608226,99.75456519826979,734.7099761962891,830.3250122070315,0.42749452672485977,2017
8.75,2497,923.152454821549,110.68407177610315,877.159973144531,983.049987792969,0.4260156864221549,2017
9.25,2235,1067.3291412252186,147.41032005962805,1029.0,1133.9299926757799,0.4169168902301866,2017
9.75,1903,1213.6220139321451,163.71077450665615,1176.444946289065,1281.319946289065,0.4048050476853916,2017
10.25,1775,1367.8371110846301,157.23075203534967,1326.839965820315,1437.25,0.3926802937013352,2017
10.75,1556,1515.8704051705602,154.232695138389,1475.6675415039049,1581.530029296875,0.3772358879951686,2017
11.25,1336,1645.3807101819875,173.27664916280085,1609.4525146484375,1712.0175170898474,0.35726062609196546,2017
11.75,1242,1768.3582045380251,152.8388999319359,1723.3649597168,1831.69747924805,0.33700237592559085,2017
12.25,1061,1851.4403022306365,185.70136425601112,1820.83996582031,1922.14001464844,0.31137071788436493,2017
12.75,898,1915.9913356073198,183.28762916393651,1887.83502197266,1980.72500610352,0.28578491911927734,2017
13.25,756,1951.9141260670933,221.20186967540434,1943.54995727539,2017.0025024414076,0.259411600446398,2017
13.75,689,1979.7592740486266,214.1203811552291,1979.91003417969,2033.33996582031,0.2354401969551822,2017
14.25,596,1993.6356701986913,222.9328304925784,2004.77746582031,2043.7100524902376,0.21299897977590782,2017
14.75,511,2009.7027630232099,178.25772127149213,2012.3300170898451,2047.15002441406,0.19361191898198582,2017
15.25,476,2019.7880690628754,141.21575151731554,2023.48751831055,2047.5874633789076,0.17606482211389063,2017
15.75,388,2020.4833057897622,180.0047327116295,2031.4075317382799,2048.5725708007826,0.15987844400432966,2017
16.25,335,2033.8023270756464,112.6670063849683,2035.9599609375,2049.1448974609402,0.14652946529096045,2017
16.75,276,2042.7435223123318,12.39323873979202,2038.66748046875,2049.63006591797,0.13438343213075715,2017
17.25,212,2043.4650976792839,13.167475977469772,2041.4299621582074,2049.38989257813,0.12307681443108409,2017
17.75,192,2035.1131260680675,148.19440229894317,2042.7449951171925,2049.719970703125,0.11250447673382412,2017
18.25,146,2031.064028854241,170.3388624787112,2043.58996582031,2049.957458496095,0.10330261826665972,2017
18.75,124,2045.7604783581164,9.218648345779735,2043.7675170898451,2050.13739013672,0.09594609174574656,2017
19.25,112,2046.767320905414,7.789836792551277,2043.8374938964826,2050.3250122070326,0.08870591778347293,2017
19.75,100,2004.826806104185,288.53064837418907,2044.1049804687475,2049.4251098632826,0.08045478553390292,2017
20.25,67,2032.341930787956,130.83109321359453,2045.48004150391,2049.7850341796902,0.0756655190667451,2017
20.75,71,2033.2332471390869,87.02241214298994,2045.06500244141,2049.949951171875,0.07035730898785371,2017
21.25,61,2013.283280130294,262.8055517576344,2045.60998535156,2050.02001953125,0.064864101186487,2017
21.75,40,1845.759745907785,584.7686455911828,2043.4850463867174,2051.175048828125,0.055459213615583244,2017
22.25,28,1909.4828496405082,458.9630458914161,2046.1149902343725,2056.00494384766,0.053592255701709286,2017
22.75,20,1782.6934849858299,667.4318833933852,2042.6100158691424,2050.239990234375,0.04680678319350239,2017
23.25,21,1890.5495372953897,372.212253972382,2047.06005859375,2055.59008789063,0.04650455689037005,2017
23.75,6,2047.9016520182302,3.504673699771725,2046.907470703125,2050.142517089845,0.04726009336693205,2017
24.25,12,1195.6500057180735,1058.3214649812542,-2.9749999046325675,2050.4425048828175,0.02592060668956775,2017
24.75,4,1505.3675079345721,666.8078325243066,1114.9799957275372,2041.957519531255,0.03069681020007341,2017
1.25,213,-1.349560173744327,0.48049462770244533,-1.4283573627471924,-1.0406806468963623,,2018
1.75,632,-1.3926763571327245,0.6126667331376197,-1.4718376398086548,-1.0463192462921143,,2018
2.25,956,-1.598317698517105,0.6064418324419445,-1.7224937081336975,-1.2250938713550565,,2018
2.75,1517,-1.8464301211235157,1.5357935882633442,-1.971104621887207,-1.49842369556427,,2018
3.25,1479,-2.2213405553374925,2.1929838922454987,-2.601723074913025,-1.5857399106025696,,2018
3.75,1473,6.315165116895766,11.369981026770525,-2.06002140045166,12.9399995803833,0.03702262667753229,2018
4.25,2094,43.385463323200064,21.54413003418371,27.3024263381958,58.279592514038086,0.17472448554510822,2018
4.75,2269,92.15139325634925,27.740399552653493,73.971435546875,110.839996337891,0.2658259641579928,2018
5.25,2171,154.56671164366355,31.675309481545582,133.3778076171875,176.78115081787115,0.3302283679376794,2018
5.75,2247,224.3498815240253,35.151330940934095,200.74027252197263,248.53772735595703,0.36483679448101325,2018
6.25,2412,307.5320312854267,43.829604300727176,277.28345489501953,337.54052734375,0.3894275080668354,2018
6.75,2193,410.7568972440164,51.40367768494462,375.9378967285156,445.8343505859375,0.41290473860391785,2018
7.25,2119,525.8392544251784,57.1735262584512,486.5626983642578,564.9521484375002,0.42659455180371747,2018
7.75,1918,651.1543382996688,68.92623087995175,604.7089080810547,696.0028686523438,0.4324691689148237,2018
8.25,1048,764.8980992440959,67.82768962118894,718.0481262207034,811.6000671386719,0.42113181969227326,2018
8.75,326,959.6727806044506,108.092525557039,911.2526092529297,1022.75,0.4428690583386831,2018
9.25,478,1109.3603151712464,88.53250384659847,1053.5225830078118,1166.4064636230469,0.43333498063684994,2018
9.75,622,1255.6952027937227,80.49048726761471,1203.0540161132812,1313.70947265625,0.4188386092291587,2018
10.25,724,1397.6958756420497,86.3482103881391,1340.846435546875,1451.4053039550781,0.40125218310318755,2018
10.75,788,1537.658532002251,92.31271422763601,1477.8549499511726,1601.624359130863,0.3826580291921131,2018
11.25,729,1670.3638578638618,116.78878566609968,1608.09619140625,1742.66003417969,0.36268520347235006,2018
11.75,639,1782.5900506391215,100.16094375177028,1716.6089477539062,1852.4332275390625,0.3397145899654662,2018
12.25,583,1861.4511002660001,96.82748536306205,1795.88720703125,1936.0684204101549,0.31305430950063856,2018
12.75,535,1907.4851188670812,145.36448045048368,1857.197021484375,1981.635009765625,0.28451615113586176,2018
13.25,463,1950.7499500381768,86.69613678135872,1909.9602661132812,2013.1344604492188,0.25925688013220516,2018
13.75,396,1978.3267628062858,61.15801036844988,1938.5377197265625,2028.2350769042969,0.23526983749105024,2018
14.25,407,1995.5404706575364,56.66289788111264,1970.3073120117188,2039.4284667968764,0.21320248764872302,2018
14.75,344,1999.2413475568908,81.07110429074086,1982.1009826660156,2040.935333251953,0.19260408102655854,2018
15.25,290,2013.1803988752697,43.60206167057299,1996.6388854980469,2042.7714233398438,0.1754888318434323,2018
15.75,259,2020.0456033949688,37.908595971944244,2009.6952514648438,2043.9586181640625,0.159843809133744,2018
16.25,230,2023.6995440939202,36.755553878802964,2016.1993103027341,2045.5359497070312,0.14580158954386582,2018
16.75,210,2028.4850667317712,36.949053123202034,2024.6590881347656,2046.746398925781,0.13344542881469193,2018
17.25,192,2026.0114409128828,48.67380137596687,2028.7350463867224,2047.6460876464844,0.12202558998031085,2018
17.75,201,2025.0179236872284,99.3755127792955,2027.912841796875,2048.36010742188,0.11194639696576096,2018
18.25,145,2029.9683972588905,48.3454563386287,2031.759521484375,2048.721923828125,0.10324689298629067,2018
18.75,125,2035.6061513671875,38.06570039023173,2034.668701171875,2049.316650390625,0.09546985418059918,2018
19.25,139,2023.2002927931096,65.08260686037661,2035.8026733398451,2049.80615234375,0.08768453404494124,2018
19.75,117,2031.936205220019,57.37877638086331,2039.2802734375,2052.171142578125,0.08154270040274675,2018
20.25,98,2027.0564699756862,61.87100151900724,2036.6525268554688,2049.9832153320312,0.07546873764438262,2018
20.75,75,2027.4070686848963,65.66835895977319,2037.9248657226562,2053.06201171875,0.07015570189811295,2018
21.25,58,2024.259083714979,67.36081543112671,2039.188751220703,2050.0336303710938,0.06521772039216278,2018
21.75,46,2048.0141707710604,10.261760250422386,2044.9051818847656,2055.4284057617188,0.061536316216860655,2018
22.25,23,2047.2910315472147,14.075523131811723,2044.0939331054688,2055.1585693359375,0.05746003137925587,2018
22.75,24,2050.012883504232,17.815784251630824,2045.2344970703125,2059.4363403320312,0.05382557876057531,2018
23.25,14,2044.603036063058,9.045702550595463,2040.8993835449219,2051.6370849609375,0.050294031620479816,2018
23.75,13,2056.2804048978364,6.3920485136908525,2052.45068359375,2057.679443359375,0.04745345257585617,2018
24.25,6,2054.5628051757812,7.630644410022209,2049.8575439453125,2060.6712646484375,0.04454105644401572,2018
1.25,244,-1.4343988218330348,0.6162338463559834,-1.56048753062884,-1.0255352184176425,,2019
1.75,732,-1.4834261492822978,0.6352411853538475,-1.628146277711945,-1.07329377519048,,2019
2.25,1178,-1.7390623069215718,0.8297680869849076,-1.9029945343732848,-1.2645728672544125,,2019
2.75,1830,-2.004939974880984,1.1165500321177684,-2.2162479390700627,-1.4717487086852425,,2019
3.25,2089,-2.3582063915538902,2.201901532399027,-2.91433268388112,-1.58556204636892,,2019
3.75,2115,6.375454910353462,11.35616161436565,-2.071758379538855,12.95075126869815,0.037376075316535896,2019
4.25,2960,41.96603732508637,22.70368639714886,26.24726978366575,57.783691411154976,0.16900808981499402,2019
4.75,2992,93.36987630410437,27.963182899854832,75.39262127876282,112.413401699066,0.2693408804227814,2019
5.25,2900,153.41230811024255,32.13637198387707,132.08230266571024,174.31949996948242,0.3277620102677177,2019
5.75,3174,225.46703411188778,36.46485534528235,200.98791205088324,249.38763612111407,0.3666535031252666,2019
6.25,3251,309.9693750035787,44.40903238468188,279.04302927653,341.8840637207031,0.3925139140145182,2019
6.75,3102,408.4723392824598,51.265001869604696,372.951605987549,442.15334012261724,0.41060823472468627,2019
7.25,2771,523.5207022206959,59.0025400974855,483.185963439941,563.0189442952476,0.4247135934496555,2019
7.75,2411,649.0356072554671,66.28542312589417,604.2964782714843,694.8517282420194,0.4310619973735381,2019
8.25,1138,757.3237981758987,68.08490957212885,709.8455810546875,800.8799181620283,0.41696161820412825,2019
8.75,188,975.6318283093959,83.40940138430783,912.8824938456223,1026.8843844378398,0.4502338274265587,2019
9.25,336,1111.1799341202343,83.16799866165005,1055.04332135518,1163.5838582356773,0.4340457547029877,2019
