month,hrs_above_rated,mean_ti,hrs_high_ti,n_records,hrs_above_rated_norm,mean_ti_norm,hrs_high_ti_norm,fatigue_risk_score
1,102.5,0.02760387342242522,0.0,2876,0.7263033175303819,0.07593530522569934,0.0,0.2674128742520271
2,62.666666666666664,0.028254043104104426,0.0,3149,0.4431279620821579,0.1265843505240249,0.0,0.1899041042020609
3,141.0,0.026629110069315415,0.0,3644,0.999999999992891,0.0,0.0,0.33333333333096365
4,42.33333333333333,0.03267127055373112,0.0,4002,0.2985781990500101,0.47069198810460544,0.0,0.25642339571820516
5,14.666666666666666,0.03556192017420527,0.0,4383,0.10189573459643203,0.6958772708001175,0.0,0.26592433513218316
6,30.166666666666664,0.03420751416889905,0.0,4149,0.21208530805536435,0.5903673200163373,0.0,0.2674842093572339
7,0.3333333333333333,0.03946586991741574,0.0,4435,0.0,0.9999999220987279,0.0,0.3333333073662426
8,124.0,0.033900028381744024,0.0,4180,0.8791469194250299,0.5664137860373561,0.0,0.481853568487462
9,79.16666666666666,0.03157733564781623,0.0,3806,0.5604265402803762,0.38547306731457004,0.0,0.3152998691983154
10,41.33333333333333,0.03388162010651078,0.0,3946,0.29146919431072416,0.5649797579791044,0.0,0.2854829840966095
11,73.83333333333333,0.028657436566782876,0.0,3300,0.5225118483375177,0.15800921443259777,0.0,0.22684035425670515
12,53.83333333333333,0.028186879546746153,0.0,3307,0.3803317535517986,0.12135222396553938,0.0,0.16722799250577933
