v_bin,n_records,power_mean,power_std,power_p10,power_p90,v_mean,Cp,turbine_id
1.25,189,-1.4340489671988605,0.5289555005764779,-2.042166897058487,-0.9450993796800952,1.1291047437077681,,T01
1.75,634,-1.3538742015750436,0.4522736267652073,-1.9534280498822523,-0.9286456928650534,1.5212139169414156,,T01
2.25,1072,-1.6044952773372123,0.6492428505282224,-2.245110289255778,-1.003808221462227,2.0183139406491133,,T01
2.75,1606,-1.8347681293964806,0.9511382277223902,-2.9008490463097885,-1.1774726357488405,2.5174053180358773,,T01
3.25,1758,-2.1492670903156563,2.7869696987963177,-4.320816608270009,-1.3800222645203273,3.004004001116975,,T01
3.75,1908,6.569060378140259,11.440507788595964,-4.1322474533456495,23.420250980892895,3.518216338298078,0.03851108648788637,T01
4.25,2529,41.63464129773436,21.48517165470574,13.420489244808758,70.14751482207205,4.001696909135325,0.1676734722736433,T01
4.75,2753,90.64587777907069,27.93109960304719,54.96212521307664,127.37976918538418,4.495661491008442,0.26148305528640303,T01
5.25,2692,151.9597004955695,33.06186788984208,110.51958983262385,193.7049882253012,4.998800818205478,0.3246585461599142,T01
5.75,2729,221.5322283713858,36.88468484005325,174.99202437082923,268.9093119654163,5.502564047886034,0.36025473926803453,T01
6.25,2808,304.59263331145223,45.82929159536099,246.21766380310058,364.43132761637384,5.996385208106756,0.385705351309905,T01
6.75,2612,407.02558101931726,54.55891321744993,342.00458248796156,475.1314129130046,6.504373220152799,0.40915391138532414,T01
7.25,2503,520.795771617634,65.19546552504451,446.5646314669207,598.2591886393228,6.996447262086773,0.4225029548571067,T01
7.75,2347,642.666865228162,78.88855581389544,559.1439854378538,736.2038503011072,7.4951395129614315,0.4268321483046159,T01
8.25,1050,752.666622668287,90.8074739679512,674.2407196044923,842.5795590034578,7.881227657902836,0.41439750567974754,T01
8.75,127,977.984308004592,86.13631204449868,878.6850516764326,1104.1608054395658,8.55179607192691,0.45131944795100054,T01
9.25,305,1113.9297147723394,75.97966726705351,1019.0916467285167,1212.7163745117193,9.023539698542555,0.43511986572835964,T01
9.75,553,1262.5271541562706,90.25492744303996,1146.0138777669276,1374.4849625651038,9.515658484582877,0.42111741462766983,T01
10.25,812,1407.864184296191,92.86780941751769,1290.3011166837857,1525.5704801432312,10.012160278159927,0.4041713131636286,T01
10.75,983,1538.4841158963754,91.06597388928238,1417.2711334635428,1656.9109147135432,10.503802775555297,0.38286348202789133,T01
11.25,1034,1670.6052189548532,95.49684164287399,1547.964164632164,1789.4801629568503,11.005366685414645,0.3627376100758481,T01
11.75,1048,1783.6343083805016,96.82005365033936,1647.0600054159945,1910.1364062500018,11.49943425819108,0.3399135979147723,T01
12.25,931,1858.9774291040678,91.01533256732594,1732.43301595052,1971.3614298502616,11.999245887606921,0.31263829351320827,T01
12.75,856,1922.5668594034958,79.54720768037167,1813.8555796305347,2017.41582199623,12.49468480593436,0.2867657093250229,T01
13.25,798,1958.8975433070218,66.92286982857067,1868.598324862395,2034.4918135579455,12.994651726527312,0.2603397045154253,T01
13.75,755,1983.6603276781766,55.485638650115476,1908.8284215887677,2043.6169417317737,13.476621037486685,0.2359041244876421,T01
14.25,619,1993.3712062562322,52.548540557512084,1920.9066602123755,2046.9957747395858,13.989215552197264,0.21297072458827582,T01
14.75,589,2006.6327894837998,39.25216690011229,1953.3363131959425,2047.3605721028664,14.498211445246605,0.1933161620774698,T01
15.25,521,2012.6712756837028,36.663905965128386,1969.125219726565,2048.5242472330738,14.988119919436869,0.17544445160100475,T01
