class,AP50,AP50-95,P,R
VG;MT,0.7041814285714286,0.34920014262921606,0.9012444877899407,0.46153846153846156
SF;PO,0.6724999999999999,0.36462500000000003,0.5603791370401978,0.6
LE;ER,0.5380158738982268,0.2452831921566181,0.6563756498237217,0.3622769376392635
LR;DA,0.0,0.0,0.0,0.0
LE;CR,0.0,0.0,0.0,0.0
mAP（平均）,0.38293946049393107,0.19182166695716682,0.42359985493077196,0.284763079835545
