scenario,score_Tip,score_Mid,score_Root,rank_order,rank_changed
RW:Tip+50%,3.7673626947167254,2.23249034634894,0.06414497831672,Tip > Mid > Root,False
RW:Tip-50%,1.2557875649055752,2.23249034634894,0.06414497831672,Mid > Tip > Root,True
RW:Mid+50%,2.5115751298111504,3.3487355195234105,0.06414497831672,Mid > Tip > Root,True
RW:Mid-50%,2.5115751298111504,1.11624517317447,0.06414497831672,Tip > Mid > Root,False
RW:Root+50%,2.5115751298111504,2.23249034634894,0.09621746747508002,Tip > Mid > Root,False
RW:Root-50%,2.5115751298111504,2.23249034634894,0.03207248915836,Tip > Mid > Root,False
CW:all+50%,3.7673626947167254,3.3487355195234096,0.09621746747508002,Tip > Mid > Root,False
CW:all-50%,1.2557875649055752,1.1162451731744703,0.03207248915836,Tip > Mid > Root,False
