class,AP50,AP50-95,P,R
LE;ER,0.784211330600284,0.4344426319469493,0.8693587524385599,0.6884270619190203
VG;MT,0.7563894736842105,0.4104684796038006,1.0,0.5017190525132174
SF;PO,0.7058928571428571,0.568470238095238,0.7827449567251604,0.6
LR;DA,0.5561,0.11122000000000001,0.8031704799960899,0.3333333333333333
LE;CR,0.0,0.0,0.0,0.0
mAP（平均）,0.5605187322854703,0.3049202699291976,0.6910548378319621,0.4246958895531142
