image,T-LE,M-LE,R-LE,T-Body,M-Body,R-Body
DJI_0015_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_0_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0017228985258
DJI_0015_0_3.JPG,0.0,0.0,0.0074197002080249996,0.0,0.0,0.0
DJI_0015_0_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_1_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0015_2_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_0_2.JPG,0.0,0.0,0.0,0.0,0.0,0.00484268493132
DJI_0021_0_3.JPG,0.0,0.0,0.006842012869575,0.0,0.0,0.0
DJI_0021_0_4.JPG,0.0,0.0,0.0014312536891425,0.0,0.0,0.00289399950996
DJI_0021_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_1_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0021_2_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_0_2.JPG,0.0,0.0,0.003567794350185,0.0,0.0,0.0014598555168
DJI_0026_0_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_0_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_1_3.JPG,0.0,0.0,0.0,0.0,0.00341698872762,0.0
DJI_0026_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0026_2_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_0_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_0_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_0_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_1_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0029_2_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_0_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_0_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_0_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_1_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0036_2_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_0_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_0_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_0_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_1_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0038_2_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_0_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_0_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_0_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_1_3.JPG,0.0,0.02466689100876,0.0,0.0,0.0,0.0
DJI_0053_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0053_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
