class,AP50,AP50-95
LE;ER,0.784211330600284,0.4344426319469493
VG;MT,0.7563894736842105,0.4104684796038007
SF;PO,0.7058928571428571,0.568470238095238
LR;DA,0.5560999999999998,0.11121999999999996
LE;CR,0.0,0.0
mAP（平均）,0.5605187322854703,0.3049202699291976
