V,TI,peak_pre_mean,peak_pre_max,peak_post_mean,peak_post_max,peak_ratio,n_seeds
8,0.14,2296.648303642258,2482.568338348659,1670.256044643076,1954.976432432486,0.8512302163688216,6
10,0.14,2702.211130416397,2849.6154199391553,2374.213356485469,2602.0380423964025,0.962929214933491,6
12,0.14,2980.321686560301,3115.5476204071683,2446.8334043410173,2501.5453425525716,0.8393541387942244,6
14,0.14,2740.2102482971563,2881.3562871425024,2126.776083805768,2346.3843051193167,0.8562789320919538,6
16,0.14,2657.3557506049087,2855.042035297567,2597.9527357595707,2884.7458843460745,1.0855700760763416,6
18,0.14,2537.386262500213,2642.9310788750413,2549.8131757577744,2875.1040752738277,1.1330967294040777,6
