V,TI,case_tag,DEL_mean,DEL_std,DEL_cv,n_seeds
4,0.08,V04_TI008,214.92621737341483,19.718296526187917,0.09174449151510057,6
4,0.12,V04_TI012,295.0111343178406,15.044748354400541,0.0509972221529495,6
4,0.14,V04_TI014,382.7785424307048,49.73349911800901,0.12992760462013714,6
4,0.16,V04_TI016,390.0554058024821,52.73730517157197,0.13520465140861887,6
4,0.2,V04_TI020,484.28392604408947,40.86645550140022,0.0843853229555253,6
6,0.08,V06_TI008,570.3145137816877,54.184653782707144,0.0950083725266172,6
6,0.12,V06_TI012,771.4467948669634,38.590256909006925,0.05002322540683035,6
6,0.14,V06_TI014,816.9200361673038,67.40434134921148,0.08251032948763076,6
6,0.16,V06_TI016,1017.1693960506869,172.03350716976308,0.1691296531705624,6
6,0.2,V06_TI020,1147.802144828486,109.92805900915289,0.09577265516051048,6
8,0.08,V08_TI008,1015.8853094142269,42.90782891241092,0.04223688295793169,6
8,0.12,V08_TI012,1311.1534932468248,98.43110295153991,0.07507214331389517,6
8,0.14,V08_TI014,1561.9687634611,158.59589742288418,0.10153589568043492,6
8,0.16,V08_TI016,1763.2883218883633,254.06944001765208,0.14408842664230928,6
8,0.2,V08_TI020,2030.0997180278628,170.84123483983808,0.08415410993002921,6
10,0.08,V10_TI008,1200.5856302723394,46.70051520586307,0.03889811274458581,6
10,0.12,V10_TI012,1608.4550742306856,44.76383607617089,0.027830330354474565,6
10,0.14,V10_TI014,1779.9357714912273,64.14348082877187,0.03603696372427673,6
10,0.16,V10_TI016,1990.1301937664848,110.31031137905863,0.0554286909090542,6
10,0.2,V10_TI020,2358.614692951926,124.13616114487401,0.05263096236779196,6
12,0.08,V12_TI008,1561.8387263079328,54.917334845759775,0.03516197538242642,6
12,0.12,V12_TI012,2002.1438012795218,110.38933467635566,0.05513556748811374,6
12,0.14,V12_TI014,2351.623310030796,49.882059178986616,0.021211755711986618,6
12,0.16,V12_TI016,2457.637442481237,134.69248020363617,0.05480567551398073,6
12,0.2,V12_TI020,3013.7319514610476,174.17245435608882,0.0577929481325141,6
14,0.08,V14_TI008,1937.5823589858144,58.384350631885695,0.03013257751915419,6
14,0.12,V14_TI012,2343.7014853694805,79.36179429956877,0.03386173315799112,6
14,0.14,V14_TI014,2537.9766509691076,72.05936004400485,0.028392444042576008,6
14,0.16,V14_TI016,2829.968929538012,61.80703727742608,0.021840182283384992,6
14,0.2,V14_TI020,3348.5435491468256,151.19948599819998,0.04515380605897273,6
16,0.08,V16_TI008,2089.120647849334,99.9849758158769,0.047859838022666336,6
16,0.12,V16_TI012,2604.344269126098,62.09409751861877,0.0238425074037753,6
16,0.14,V16_TI014,2903.8189241900313,107.5057397829145,0.03702219132444745,6
16,0.16,V16_TI016,3178.100875411779,149.91938059247195,0.04717263122525878,6
16,0.2,V16_TI020,3710.6286526953604,215.55111147080035,0.05809018677043481,6
18,0.08,V18_TI008,2214.5858946519006,63.61613440775332,0.028725972905987832,6
18,0.12,V18_TI012,2821.5210347827397,109.61715263902542,0.038850375839025446,6
18,0.14,V18_TI014,3089.86566187201,177.96389860289867,0.05759599868658315,6
18,0.16,V18_TI016,3439.3423717495084,130.133422743866,0.03783671663884696,6
18,0.2,V18_TI020,4046.0911272228236,159.8148156424447,0.039498570501089826,6
