IEC_class,IEC Class I (Vave=10.0),IEC Class II (Vave=8.5),IEC Class III (Vave=7.5)
IEC Class C (I_ref=0.12),9365.998697836278,8964.701491435342,8564.416280619567
IEC Class B (I_ref=0.14),10347.751969558018,9938.246916303255,9528.91689118685
IEC Class A (I_ref=0.16),11327.455163516173,10891.201973133982,10452.130982535482
