TI,IEC Class I (Vave=10.0),IEC Class II (Vave=8.5),IEC Class III (Vave=7.5)
0.08,6942.354769845313,6604.519039216316,6262.7226905778725
0.12,8871.43790458148,8447.25525135012,8017.673407191633
0.14,9674.054583289277,9203.56014008306,8729.094389231119
0.16,10474.119125762272,9994.675462211,9512.478622926568
0.2,12365.273964727403,11809.260022484696,11247.94113278035
