V,TI,peak_pre_mean,peak_pre_max,peak_post_mean,peak_post_max,peak_ratio,n_seeds
8,0.14,2296.6482396941155,2482.5682374090334,1555.4337955842177,1957.867873899956,0.8524892232346035,6
10,0.14,2702.2169115187917,2849.6155742073493,2086.841491710886,2348.3236778286264,0.8690359637001687,6
12,0.14,2980.321526378965,3115.547415499038,2339.357328517287,2435.6292190102167,0.8172370656831315,6
14,0.14,2740.2158527407096,2881.356001143589,1826.8341699983519,2209.1338976913444,0.8061897370171814,6
16,0.14,2657.3579310685013,2855.042035297567,1538.1042423120605,2044.0463330761936,0.7692024883732165,6
18,0.14,2537.385331714992,2642.9310788750413,1089.5391021472967,1376.9504825144013,0.5426651069917453,6
