V,DEL_dlc13_mean,DEL_dlc13_std,DEL_dlc13_cv,n_seeds,DEL_dlc12_ti14,DEL_dlc12_ti08,ratio_vs_ti14,ratio_vs_ti08
4,6490.163170952831,458.309974526894,0.07061609430377523,6,1558.6020317850723,970.2387758068326,4.1640925897675265,6.689243238661258
6,9800.507513303812,1054.5587322454855,0.10760246148619984,6,3069.8532865343427,1749.3978462491452,3.192500291884608,5.602217662675712
8,12434.658052943249,613.8557862442934,0.049366519258565014,6,5506.222143883195,3424.8719650624007,2.2582921153584006,3.630692819991795
10,13586.791476073398,1161.7785553884867,0.08550794037241251,6,7155.50221411863,4672.667143895628,1.8987893609011948,2.9077165262719773
12,16045.524197881672,1339.4535556655294,0.08347832947971646,6,8758.895720296181,6175.713931565614,1.8319117740722566,2.59816506653085
14,16489.738512185675,1788.9196762487995,0.10848684319201388,6,9909.840205338944,7289.522303765733,1.663976226710679,2.2621151050826955
16,16300.43005994056,1274.8999544883384,0.07821265756794317,6,11191.624314547638,7951.170671079631,1.45648474267959,2.0500666800209992
18,16996.3775048665,677.978270521527,0.039889574724226044,6,12094.960583243606,8692.017227673787,1.4052445551921295,1.955400807392921
